ゴマ,カスタム名詞,ゴマ
マヨ,カスタム名詞,マヨ
SPAM,カスタム名詞,スパム
ハードウェア,カスタム名詞,ハードウェア
アクセラレーション,カスタム名詞,アクセラレーション
